,SELECTION_Decision,COT_Decision
23ef333a-4bdd-4d25-bdf2-43aad0ad8d31,EXCLUDE,EXCLUDE
240793ed-f544-48cb-b6c7-53e19b425827,EXCLUDE,EXCLUDE
240b2b1b-ec40-484c-85ef-d28b4656962a,EXCLUDE,EXCLUDE
2416ad2a-7c11-4d11-ab1b-e6d7f0c2da98,EXCLUDE,EXCLUDE
241e0708-3102-4e92-bbc5-ab1896f539d9,EXCLUDE,EXCLUDE
241f85a2-88fe-4825-a1b5-1a069e49f8d4,EXCLUDE,EXCLUDE
24264239-bb41-436d-a978-77f37bf8abaf,INCLUDE,INCLUDE
24353dc0-3b6b-45df-bb6a-1449b550af96,EXCLUDE,EXCLUDE
244ebdc0-cd59-4368-9edb-7f732f21c0e5,EXCLUDE,EXCLUDE
245b694c-54d3-478a-9a04-ff7f71613f72,EXCLUDE,EXCLUDE
24649f72-e99a-4c62-8949-2cb7b75ac198,EXCLUDE,EXCLUDE
246baf8e-c7cf-436a-889c-0cb3f47d9da3,EXCLUDE,EXCLUDE
247071ad-528a-4813-97d4-82a5b80aaaaf,INCLUDE,INCLUDE
247268a0-9bb3-4008-8544-a335dc354fba,INCLUDE,INCLUDE
24753070-c813-4071-9a09-855398a72019,EXCLUDE,EXCLUDE
247c2013-0338-4a23-8130-d2699ad3b630,EXCLUDE,EXCLUDE
247c22cf-06fa-4852-8a8b-6ddf0db914e4,EXCLUDE,EXCLUDE
248a4af2-f2c1-4235-8620-a376fb7ab0dd,INCLUDE,INCLUDE
24a103b5-9974-4b04-ae34-4ab09d0d73d3,EXCLUDE,EXCLUDE
24a8ade0-c05b-4045-9fe2-285167dcd6c1,INCLUDE,INCLUDE
24c23104-af58-4d58-b66c-9845fb2f487d,INCLUDE,INCLUDE
24c4560b-1dac-4107-9081-53710cfcaec2,EXCLUDE,EXCLUDE
24d4f64c-e820-4daf-b7fc-223bcc74b40c,EXCLUDE,EXCLUDE
24da82be-d3b4-4ed1-ac3d-10d3900e238a,EXCLUDE,EXCLUDE
24db10d6-cf29-432d-a571-4c0a34f73428,EXCLUDE,EXCLUDE
24f96e05-5f13-495c-8a37-431fd55c6729,EXCLUDE,INCLUDE
24ffe7e8-b3a2-4533-a589-decdce0032f4,INCLUDE,INCLUDE
25194383-824c-465b-9596-3f78be1bb99a,EXCLUDE,EXCLUDE
25272eec-9f24-4555-bc4e-6def6badf152,EXCLUDE,EXCLUDE
25318cbb-bd90-430c-a236-01d68e9a7e86,INCLUDE,INCLUDE
254675ea-eb0f-4bfd-ac90-97099cdc82c1,INCLUDE,INCLUDE
2587f6fc-3f40-44d4-b4fb-e0227bf70350,EXCLUDE,INCLUDE
258fa8e5-f2f2-4dde-9eb8-c5de8122811b,EXCLUDE,EXCLUDE
259580c3-5be9-4799-88c8-23ee8109f9fd,EXCLUDE,EXCLUDE
259ace9b-59ec-4866-98f9-615710794006,EXCLUDE,EXCLUDE
259e9630-852f-4bc4-ba99-750d6785751a,EXCLUDE,EXCLUDE
25a3ec1e-c61c-42a1-afdd-62e48a35d959,INCLUDE,INCLUDE
25a68696-702b-47be-89a0-6e65e21232df,INCLUDE,EXCLUDE
25a75986-a8e0-475e-b31a-e82673f0598c,INCLUDE,INCLUDE
25b32eb6-100c-4751-a2fe-1ddaebeb84cb,EXCLUDE,EXCLUDE
25dd1c6e-d4a8-4b90-924c-de5f98ade87d,INCLUDE,EXCLUDE
25ef1823-4af1-4dff-baa5-f369cc72aada,EXCLUDE,EXCLUDE
25f272b8-3673-4928-8dd1-737669bfb03f,EXCLUDE,EXCLUDE
25f89c42-f544-422a-93f5-89cc4251045a,INCLUDE,EXCLUDE
260242c9-f283-472d-8364-a0a97c419151,INCLUDE,INCLUDE
2607d22f-f32b-4bda-aa67-742d99b3b7e3,EXCLUDE,EXCLUDE
26117180-8533-4009-8cf4-549d652dfa1b,INCLUDE,INCLUDE
2614a1bf-1ee4-4129-a53f-04d9981f112e,EXCLUDE,EXCLUDE
263c414d-d8ba-4c99-a896-e3ef64aada79,EXCLUDE,EXCLUDE
26659643-516d-4d49-ba5f-27f98309e1ed,EXCLUDE,EXCLUDE
266f4c5f-76fd-44ff-b287-f2d351eca4ec,INCLUDE,EXCLUDE
26723c32-209b-41e2-b458-b94455460298,EXCLUDE,EXCLUDE
267361e7-bf21-4fe0-be18-bacf07111e95,EXCLUDE,EXCLUDE
26745545-56b0-4418-9d61-6c079b0796f2,INCLUDE,INCLUDE
267eda16-0116-4101-8ed1-bf2dc693f0d7,INCLUDE,INCLUDE
26a2ffe8-ae54-4982-a01e-f8bce57a5273,INCLUDE,EXCLUDE
26b67d1f-c00e-420c-9a66-28dee27fb298,EXCLUDE,EXCLUDE
26cc412b-106f-4b5c-800a-38b7e5326624,INCLUDE,EXCLUDE
26de0b79-4bba-4d12-a27a-0d55cae521ef,EXCLUDE,EXCLUDE
26e6e247-dbdc-4720-a022-e0864ade42d2,EXCLUDE,EXCLUDE
26e711f7-6101-43ac-a376-e76e204450e6,INCLUDE,INCLUDE
26ee569b-1906-4f3a-a3cd-bd157ae21e93,EXCLUDE,EXCLUDE
26f6c434-ebc2-440e-aa79-dd817c7da879,EXCLUDE,INCLUDE
26faf8a0-b337-4e54-824c-b51ba981b332,EXCLUDE,EXCLUDE
2706f878-f645-4e6b-a443-6c7ac555b4ed,INCLUDE,INCLUDE
270713ac-b65e-4adc-8297-45f05eba2a28,EXCLUDE,EXCLUDE
270c090a-f540-47ab-a8b0-fab44b68cf19,EXCLUDE,EXCLUDE
271abfc0-1786-4cdb-a0c9-3ade448e2d58,EXCLUDE,EXCLUDE
272000ba-3dd5-4d42-a85a-8b400a7f74f6,EXCLUDE,EXCLUDE
272caef0-b2dc-4902-83a8-1b3199e942bc,EXCLUDE,EXCLUDE
272d3de3-1dea-4490-8289-a548ea483f74,EXCLUDE,EXCLUDE
273085f5-7af9-46fb-b01f-2ee53ab73a6a,EXCLUDE,INCLUDE
273f2cc1-3f71-4b2e-9abd-7072dd7b91d6,EXCLUDE,EXCLUDE
2744cb8b-ea9a-49b0-80da-de4eb3c1a7ea,EXCLUDE,EXCLUDE
2750aa14-2c2a-4502-996d-ae626f0361a4,EXCLUDE,EXCLUDE
27643052-f61a-4b8f-bc94-f8fc612fa1b4,EXCLUDE,EXCLUDE
2770f6ac-53b4-498a-b810-3eec0ab883a9,INCLUDE,INCLUDE
27799742-d714-4e6e-b592-d898d40f755f,EXCLUDE,EXCLUDE
2789fa9e-5fbf-4df2-9085-5029680d94ae,EXCLUDE,EXCLUDE
278abfd2-fecd-46b8-bd74-fce3155f1656,INCLUDE,EXCLUDE
279ca4cd-3ccd-4ea0-946d-c73ed1e487dd,EXCLUDE,EXCLUDE
27a168ba-00a9-49fd-ac45-5f209ac7d629,EXCLUDE,EXCLUDE
27a33388-1bca-4e6f-86bd-4e5679bb1ec8,INCLUDE,INCLUDE
27abc17a-e355-4341-9c66-e76b976de16d,EXCLUDE,EXCLUDE
27c842b8-0ca0-498a-98f8-74d5fde4d25e,EXCLUDE,EXCLUDE
27ce3bbc-b064-4a84-8750-f9f71dd5f573,EXCLUDE,EXCLUDE
27d74102-9339-4be1-b9eb-a8a920efa684,EXCLUDE,EXCLUDE
27dc1a83-47d8-41e0-968d-35dc0bf995c1,EXCLUDE,EXCLUDE
27ea8a31-fbd5-40a0-b214-c9a7bbb9a54c,INCLUDE,INCLUDE
27ef5146-fffd-43e1-b9df-d9fb1a150a82,INCLUDE,INCLUDE
27f3a678-76c5-4a12-bdc5-3da74548672b,EXCLUDE,EXCLUDE
280e6323-d12d-49d6-b87f-18dfbd70f0e2,INCLUDE,INCLUDE
28159eea-3b7a-4373-a41d-8530575cbd21,INCLUDE,INCLUDE
2815a812-233d-4bfd-8a8b-4bafc56bf616,EXCLUDE,EXCLUDE
2827c6a9-da9b-43a4-a6f2-1a08c4e251dc,EXCLUDE,EXCLUDE
283266ba-cf35-4c88-9e25-20a1ab92e921,EXCLUDE,EXCLUDE
284e73df-9b0c-47fe-9156-fea7fada5189,INCLUDE,INCLUDE
285a0ed7-e3a4-4f22-9d91-29004b4e2640,EXCLUDE,EXCLUDE
285f3320-873f-4c55-a2d9-02aacbf421cc,EXCLUDE,EXCLUDE
2862cd17-da43-4b9a-ab5b-1c106dc3fdaa,INCLUDE,INCLUDE
286bc282-326e-472d-9987-75a15015d35b,EXCLUDE,EXCLUDE
286c349b-7c33-4c5b-b293-5779029463ec,EXCLUDE,EXCLUDE
287658e8-3d49-4540-9614-bd8b5bfaaa99,EXCLUDE,EXCLUDE
287947be-6a17-47f3-a083-4d2666cc919e,EXCLUDE,EXCLUDE
287af3ac-3814-4ebb-9b72-cc9d68c3e577,EXCLUDE,EXCLUDE
2890f48f-b720-440a-8048-a3267398e5b7,EXCLUDE,INCLUDE
28a5bd18-0daf-445b-9773-f46fdf3e2b00,EXCLUDE,EXCLUDE
28b91df1-54ad-44da-b9bb-41af8d4b116e,EXCLUDE,EXCLUDE
28baf6d1-6a54-482c-b8af-cf0279e9ac2c,INCLUDE,EXCLUDE
28c2e14f-a87c-4d87-9c30-ceff33b35ded,EXCLUDE,EXCLUDE
28d828b5-8b81-476c-ba26-8d8b391ab656,EXCLUDE,EXCLUDE
28e2aee6-ffe1-4644-a6ee-64ed060baae1,INCLUDE,INCLUDE
28eee18a-9f75-44ed-8f37-dce5173cd8ca,EXCLUDE,EXCLUDE
28f09dec-435c-4059-bba1-723056898a97,EXCLUDE,EXCLUDE
28f7a8f3-c214-41f9-b71e-bc879acff832,EXCLUDE,EXCLUDE
290102f2-d288-4ab8-8ab2-6f6d6b44da36,INCLUDE,INCLUDE
2913b1d8-cd57-4d8e-b822-cc95d9df666e,EXCLUDE,EXCLUDE
292ac623-02b5-4d44-aba7-543b7bc361ef,EXCLUDE,EXCLUDE
292eb4e0-5d30-42ed-b2aa-3f3ec5cbca0b,EXCLUDE,EXCLUDE
293a1529-80e3-44ef-aae6-47234d4487cc,EXCLUDE,EXCLUDE
293a1abf-ae62-41ef-8bc6-a60760aa7959,EXCLUDE,EXCLUDE
293a2332-14fd-433a-8468-5e8d0c277bfd,EXCLUDE,EXCLUDE
294bd217-dfb4-4794-944f-b9c2aa345a1f,EXCLUDE,EXCLUDE
294dde14-913a-413d-baa2-a3cc392e2edd,EXCLUDE,INCLUDE
294ef898-fc5d-4fdc-b722-98d7c3d844f8,INCLUDE,INCLUDE
2955c51c-b1bb-4540-81ba-77ce0ef99e76,INCLUDE,INCLUDE
295b0ae7-6a72-4038-bb3d-b084e6250cc3,EXCLUDE,EXCLUDE
2963404b-28fa-431d-b46f-17d7b8ed0f99,INCLUDE,INCLUDE
2968ad96-3c55-436f-be94-7775c8d947c5,EXCLUDE,EXCLUDE
296955f4-2872-4a90-bacb-40b6a612e05c,EXCLUDE,EXCLUDE
296d0110-b7a8-4d25-9dc3-5a3c399558c1,INCLUDE,INCLUDE
298c4214-3082-4ae1-acea-13e699578121,INCLUDE,INCLUDE
2991a852-36fd-4ca2-b335-930eb032c02a,EXCLUDE,EXCLUDE
299277df-7f15-4d8d-addb-49a1a8cac4b6,INCLUDE,EXCLUDE
29ad24f6-58a2-479b-9141-4c9fb91aa2cb,EXCLUDE,EXCLUDE
29b64c60-e7c8-4808-bc7b-f36676cd2fa7,INCLUDE,INCLUDE
29b74fbc-f019-49f0-9f59-f2a9cef2f044,INCLUDE,INCLUDE
29bce617-9073-4f04-b10f-b76283b6881f,INCLUDE,INCLUDE
29cf57f9-cb9f-4949-aee5-1ced5f09a816,INCLUDE,EXCLUDE
29d1c8e0-a1d3-41c6-bcd7-c6713e05159d,EXCLUDE,EXCLUDE
29d2b57c-999e-4d5b-9cfa-961126eba8dd,INCLUDE,INCLUDE
29d53f52-1b56-4370-8de3-1b217fee2b50,INCLUDE,INCLUDE
29f095d3-fc60-4f40-bf7e-59a569fe7722,INCLUDE,INCLUDE
29fab3f6-4a74-4080-9f4b-d7f44f5c4c55,EXCLUDE,EXCLUDE
2a00e3e2-cc03-4925-98cb-1097d555269c,EXCLUDE,EXCLUDE
2a010117-b1b9-4d40-bc30-0d404810bb3a,EXCLUDE,INCLUDE
2a05720b-e067-4b3d-bb89-2863937deec2,EXCLUDE,EXCLUDE
2a0d3600-dcb2-4b62-8926-a91671880c35,INCLUDE,EXCLUDE
2a13b8d8-eb22-43f1-a6f8-952fcd394f5a,EXCLUDE,EXCLUDE
2a14dc15-5dcb-48d7-9b00-bed0c678df66,EXCLUDE,EXCLUDE
2a2364c8-caef-42e0-8ea7-7418da91a85e,EXCLUDE,EXCLUDE
2a3436eb-9b6d-46ae-8e41-c1bb8b29d05f,EXCLUDE,INCLUDE
2a381e16-9d52-4a6d-853a-5f291df3a1f5,EXCLUDE,EXCLUDE
2a3aea38-9073-4ff5-9559-aac5940e76b0,INCLUDE,INCLUDE
2a3c36dc-1938-43a2-b57b-2a28b11c1b3f,EXCLUDE,EXCLUDE
2a452f7e-60ce-4431-98b5-f9625d2aeaa6,EXCLUDE,EXCLUDE
2a468ed4-1285-44f8-a011-a68a1cc5b9a9,EXCLUDE,EXCLUDE
2a7143b7-2e0b-4c3d-a8af-a2600b201a58,EXCLUDE,INCLUDE
2a802bd2-1249-4628-83da-7b486b0bcbd9,INCLUDE,INCLUDE
2a8040ea-3694-4759-8a9b-9b269ebb5236,EXCLUDE,EXCLUDE
2a93ec31-781b-47c3-b4ad-c153b659b7d2,EXCLUDE,EXCLUDE
2a95165b-f31e-4037-9d84-baa5b878ca1e,EXCLUDE,EXCLUDE
2a960afc-88b8-4a32-a966-3d07e5dfba1a,EXCLUDE,EXCLUDE
2aa81f09-41ee-4921-830d-d34d6a5640eb,EXCLUDE,EXCLUDE
2aa90c50-7b2d-4052-8319-cf8d354010b8,EXCLUDE,EXCLUDE
2acc4504-89f8-4883-9966-67f592bf51d5,EXCLUDE,EXCLUDE
2acf1837-35b2-4bb7-83d3-85b47e7e555b,EXCLUDE,EXCLUDE
2adc369d-cf4c-452a-bc8a-065774625dd9,EXCLUDE,EXCLUDE
2af56926-191c-4bba-8134-25d5e80c5976,INCLUDE,INCLUDE
2af647dd-de78-457a-8007-b6691a32a1d4,INCLUDE,INCLUDE
2aff23f4-7376-4757-b5a1-7a888347216f,EXCLUDE,EXCLUDE
2b11f484-5bd1-4424-9d46-6fd6c23fee23,INCLUDE,INCLUDE
2b152d61-d227-4ae1-a0f1-215c54bbfc9c,INCLUDE,INCLUDE
2b160297-b0a9-4947-8bfa-3c62f4f7307f,EXCLUDE,EXCLUDE
2b180325-3a6c-4d11-bc8e-e34bd4fa730f,EXCLUDE,EXCLUDE
2b19536f-8bbe-4e91-a1b0-06e86440681b,EXCLUDE,EXCLUDE
2b1fc9ca-735f-4b2e-b356-e0dd18cdb68d,EXCLUDE,EXCLUDE
2b200925-b169-4d6e-95d7-13851c338a51,INCLUDE,INCLUDE
2b2d6213-cdc3-41db-9521-41b3bac3fb0c,INCLUDE,INCLUDE
2b3f9da7-629c-49e6-bdfe-5baae2e06f14,EXCLUDE,EXCLUDE
2b4339f8-a5a9-4d18-8e66-70c8080d2d8a,INCLUDE,INCLUDE
2b435940-f85d-4828-ae66-f1a560342542,EXCLUDE,EXCLUDE
2b4ffd34-7e59-4dc5-a867-a7b014040134,EXCLUDE,EXCLUDE
2b56806c-d8e5-44ab-bb3c-0e96d6a468db,EXCLUDE,INCLUDE
2b815844-3cf8-48f7-a7be-1be767741f12,EXCLUDE,EXCLUDE
2b88789e-9ab0-4135-a883-e87fc8acca7f,EXCLUDE,EXCLUDE
2b89511c-2421-457a-953d-2846e7e58bac,INCLUDE,INCLUDE
2ba7f89d-47e6-457d-b6b2-ff9a9f15014f,EXCLUDE,EXCLUDE
2ba85dfe-8bcf-4dee-b83b-0025e37fb42c,INCLUDE,INCLUDE
2bac9853-1573-4bcd-af2e-172069f6dd1c,EXCLUDE,EXCLUDE
2bb1ff42-5908-4f64-b0ee-990a0e2f55c6,EXCLUDE,EXCLUDE
2bbad920-03e9-4acf-91b6-48f1e1186924,EXCLUDE,EXCLUDE
2bc15be7-22f7-4e37-8466-8eb5a122cc0d,EXCLUDE,EXCLUDE
2bd67acb-7026-422e-880c-2e7533d5c8f6,EXCLUDE,EXCLUDE
2bde0a9c-e405-4626-aebd-21e68a983470,INCLUDE,INCLUDE
2be57ec3-1811-42fe-adb8-490e29c65be3,INCLUDE,INCLUDE
2be5a2d5-00e1-4bba-bea5-34a693355d6d,INCLUDE,INCLUDE
2be7cb24-ff7a-4cda-aef6-f64a07eaf809,EXCLUDE,EXCLUDE
2bf070b2-5adc-4c33-8d73-fe85973ac072,EXCLUDE,EXCLUDE
2bf5e93f-abab-45f8-bc15-3c712ad3ef1f,EXCLUDE,EXCLUDE
2bfcbf60-2ff9-40d2-b483-3a173035dee3,EXCLUDE,EXCLUDE
2bfddad2-d210-4d82-bbf7-ef9ddaed6b5c,EXCLUDE,EXCLUDE
2bffd1e3-1852-4efb-a5bc-19f524067585,INCLUDE,INCLUDE
2c11eee5-8d62-4cc0-af79-c67f68c1c289,INCLUDE,INCLUDE
2c1453be-47a8-4bfe-ad7c-cc0e767b6c00,INCLUDE,INCLUDE
2c201086-105b-4209-b4c8-35f71c640c1a,INCLUDE,EXCLUDE
2c4c1104-aa7c-4f95-8505-39d7420b9144,EXCLUDE,EXCLUDE
2c525214-46cf-4f81-87c9-5e7c99f5c724,EXCLUDE,EXCLUDE
2c553a9a-cd32-4c0e-b286-669dd7563c45,EXCLUDE,EXCLUDE
2c5614db-9087-4fe7-a0d1-b3b236eba32e,EXCLUDE,EXCLUDE
2c63b9b8-fde4-47d0-8f2b-8679956cb708,EXCLUDE,EXCLUDE
2c700a06-2792-452b-b2b0-1f611d1a1434,EXCLUDE,EXCLUDE
2c74874a-a92c-4d64-833d-59a36ef752d5,EXCLUDE,EXCLUDE
2c798808-fd27-40b0-90e7-bd7444c45865,INCLUDE,INCLUDE
2c7f2fda-d671-4380-aec8-4be4c31c5203,EXCLUDE,EXCLUDE
2c816dc6-bb7e-4fba-ac0b-f63b3c90e7e4,EXCLUDE,EXCLUDE
2c8203b9-2d51-441d-ad8a-1645c5c59d3f,EXCLUDE,EXCLUDE
2c827ac7-9194-4df5-95af-7ca242300cb4,INCLUDE,INCLUDE
2c86edb9-c243-4c7e-9a32-48f12ff68378,EXCLUDE,INCLUDE
2cb0340b-e3bc-4441-aa62-03dc19e86b49,INCLUDE,INCLUDE
2cb33e38-09b8-47ca-afc2-8fd5d0e5ea82,EXCLUDE,EXCLUDE
2cb7b728-b555-45aa-b7fe-94326e4160f5,INCLUDE,INCLUDE
2cbcc1ce-922f-4b70-94f1-9a58cb55bf37,INCLUDE,EXCLUDE
2cbd66bc-015e-4f1f-b252-40d8152a50f8,EXCLUDE,EXCLUDE
2ccaf904-7f0d-4070-8747-ed482d7163c5,EXCLUDE,EXCLUDE
2cd542ef-a312-4bc5-8ad0-95fb40d51ce4,EXCLUDE,EXCLUDE
2cd9743b-5b5e-4695-9cb8-236a1da5fe93,EXCLUDE,EXCLUDE
2ce08491-c745-4c68-90ad-fbb3d9f47ada,INCLUDE,INCLUDE
2d03c061-1119-4844-aa04-16fe60b65f7f,EXCLUDE,INCLUDE
2d0cf898-2ace-4d7e-97e0-b7321ec277a1,INCLUDE,EXCLUDE
2d1594f7-6641-435b-b6f3-909e75804062,EXCLUDE,EXCLUDE
2d286e63-8467-4fed-b358-016dc8d42d96,EXCLUDE,EXCLUDE
2d2ba00a-e34b-4d4f-9a38-c614202a76a0,INCLUDE,INCLUDE
2d319821-cd42-4c40-9693-18f3b5d00bc1,EXCLUDE,EXCLUDE
2d3e7937-05c2-4a90-994e-4b2778092074,EXCLUDE,EXCLUDE
2d431f96-f916-413d-ab58-552e0ff8fe4c,EXCLUDE,EXCLUDE
2d51de87-1d9a-4a4d-a493-9f4f6e49b837,EXCLUDE,EXCLUDE
2d54931c-089c-4579-937b-0399d0cbd2eb,INCLUDE,INCLUDE
2d56674e-ef1c-4425-b1a6-2d10061f2388,EXCLUDE,EXCLUDE
2d5d1c82-7100-44bd-9a54-ed1001374f03,EXCLUDE,EXCLUDE
2d6b77d8-6149-406f-bd24-32041d5003f4,INCLUDE,INCLUDE
2d6e66f8-21f9-4ab6-baf8-9ecafc79aa34,INCLUDE,INCLUDE
2d80bfb1-9b66-4327-8e56-f049d9723e17,EXCLUDE,INCLUDE
2d944886-3acf-4939-979e-b85d7e0bae40,INCLUDE,INCLUDE
2d95fb77-d584-44e9-8974-8cecb56d6d48,EXCLUDE,EXCLUDE
2dabfe21-5f2b-4127-b99f-5f5d70983e09,EXCLUDE,EXCLUDE
2dc58d4e-946a-4740-8c02-2c3a503c3ece,INCLUDE,INCLUDE
2dcaa523-2681-48e2-8e30-1641b35056d7,INCLUDE,INCLUDE
2dcfddbb-a217-4ae8-b1ea-406f3e13d3a4,EXCLUDE,EXCLUDE
2dd63a42-bd87-42bd-b48e-67476c6cc4b8,INCLUDE,EXCLUDE
2dfd4271-31df-4eb6-8b55-bd2869633f75,EXCLUDE,EXCLUDE
2e0476ea-7158-431a-b724-b1ddf4885cad,INCLUDE,INCLUDE
2e09ed7c-4936-422c-ba62-6c7158b838b2,EXCLUDE,EXCLUDE
2e14b27f-cdb3-4cab-99f8-60ba9f74b3da,INCLUDE,INCLUDE
2e276d91-0fd9-4f20-9817-5760daaf791d,INCLUDE,INCLUDE
2e297a6b-379a-4634-8b64-5cdb11e95911,EXCLUDE,EXCLUDE
2e29cb70-1b36-421c-a866-57cb31aa1742,EXCLUDE,INCLUDE
2e3f0695-bb1c-451c-9b57-dd1f9c3896e5,INCLUDE,INCLUDE
2e40aafe-da7a-4a72-9835-b3e1acdcca8c,EXCLUDE,EXCLUDE
2e604eea-4451-4de4-b35c-c0cc54713e92,EXCLUDE,INCLUDE
2e6e49ed-0e72-455b-8da4-a967b9d94aad,INCLUDE,INCLUDE
2e79661b-84c1-46ba-b94f-044a3fe794a2,INCLUDE,EXCLUDE
2e7cfa5a-6d6c-455a-b715-158eacecbc64,INCLUDE,INCLUDE
2e848276-ac47-4145-ab5f-14812372fcc9,EXCLUDE,EXCLUDE
2e88c77a-a4c2-4e41-8a08-d9849dcab568,EXCLUDE,INCLUDE
2ea85de3-eed1-43fb-a1e1-4201cfff6c91,INCLUDE,INCLUDE
2eaeef65-3ef3-42bb-93ec-2710d277287c,EXCLUDE,EXCLUDE
2eafe004-1062-45c1-8125-bb4db0b9e7ad,EXCLUDE,INCLUDE
2ee93f4a-54d6-4de6-adf6-7a9495b96002,EXCLUDE,EXCLUDE
2ee96c60-a156-445e-af02-c92652b222f7,EXCLUDE,EXCLUDE
2eec8557-5f1f-48cb-974e-587ec138ec88,INCLUDE,EXCLUDE
2ef9b9d9-7790-47d5-bd55-a5a8f967365c,EXCLUDE,EXCLUDE
2efb4f60-406d-4ffe-9764-aeff21024a31,EXCLUDE,EXCLUDE
2f09a933-f196-4d82-9a3f-36b9985a1f36,EXCLUDE,EXCLUDE
2f0fe3a8-81a3-4aae-8e0c-cf92917ba26a,EXCLUDE,INCLUDE
2f1220b0-0b9f-4d43-9165-81bbeda2917a,EXCLUDE,EXCLUDE
2f1c849c-92d2-4d08-999a-886ced955455,EXCLUDE,EXCLUDE
2f20b932-e0a1-472f-8eb4-58c60006b82f,EXCLUDE,EXCLUDE
2f2fd7f5-f1be-4f5c-a962-7b4dc3bb47ce,INCLUDE,INCLUDE
2f301333-f437-4ae3-8282-ba7db80a1f5c,EXCLUDE,EXCLUDE
2f3c8d1f-8c8d-4c9f-a144-c5c3a644b02c,INCLUDE,INCLUDE
2f4b6b25-e40a-4112-9316-d24bc843a71f,INCLUDE,INCLUDE
2f5dcfd3-3d3f-4f1b-92a2-4bc71f39b4c3,EXCLUDE,EXCLUDE
2f915e0a-aab5-472c-8954-ee7829c4cc9a,INCLUDE,INCLUDE
2f940004-3f53-4eb8-895e-c71bd094c2d6,EXCLUDE,EXCLUDE
2f99c3f4-bc76-4806-b803-257b1c8235f2,INCLUDE,INCLUDE
2fcea9c0-3ac9-4ebf-ab48-d854fe45cd7e,EXCLUDE,EXCLUDE
2fdf769f-4698-4566-ab31-3b7c1f1c0536,INCLUDE,INCLUDE
2fdf8400-e04b-4452-a579-f7df259be24e,EXCLUDE,EXCLUDE
2fe3d433-21c8-4d10-8a13-74adba11945b,EXCLUDE,INCLUDE
2fe4cc11-a643-4e90-a730-654bc63df5de,INCLUDE,INCLUDE
2fe8aa97-7b3e-458d-919d-35f24c32262b,EXCLUDE,EXCLUDE
2ff524e5-464c-451e-8301-730e8cb9e941,EXCLUDE,EXCLUDE
300cebe6-d0e2-425c-8f9d-e1095b33a2a2,INCLUDE,INCLUDE
301888ce-47ff-4b45-af8c-7cdfa1e874e7,INCLUDE,INCLUDE
301dac65-b49d-4df7-8233-0fa9181ce8b8,EXCLUDE,EXCLUDE
3020b658-5f1e-4191-8820-f8ac280a86ac,INCLUDE,INCLUDE
302568ee-2e1c-4679-941b-d3bbfc3205d5,INCLUDE,EXCLUDE
30271f57-e404-47f5-bf6b-0a55aa38b583,EXCLUDE,EXCLUDE
3028a072-b5ed-436e-8b31-4a3c57e496cc,EXCLUDE,INCLUDE
303921fa-95aa-4500-b4ab-9b825462f5c8,EXCLUDE,EXCLUDE
304b26a1-6b95-45b4-8981-768b47a1dc7e,EXCLUDE,EXCLUDE
304d9536-d13e-47b5-b2b5-3166b32107c5,EXCLUDE,EXCLUDE
305a64ff-a085-458b-ab6b-20e72961d48e,EXCLUDE,EXCLUDE
305d76d6-5f9b-4494-afe3-aa5266aee169,EXCLUDE,EXCLUDE
306b81a5-12f8-4e14-a0ce-2b7d58292000,EXCLUDE,EXCLUDE
30832ae1-c05e-4ec7-8314-244df60e1d75,EXCLUDE,EXCLUDE
30940574-3cfb-4acd-8660-dee11ea68f85,INCLUDE,INCLUDE
309b7cfb-4c35-47a5-8262-642ea6c811a4,EXCLUDE,EXCLUDE
30a7ed05-b195-4c4f-9a56-a6d0b3960f0f,EXCLUDE,EXCLUDE
30adbfe9-6aec-4e90-a7c4-03074f06f830,EXCLUDE,EXCLUDE
30af907c-4ae2-4bea-ad0d-ea8a2ae30136,INCLUDE,INCLUDE
30ba9527-0815-4f33-b066-c122eef6fccb,INCLUDE,INCLUDE
30ce471b-bc1c-4e02-bb39-a9982c875edd,EXCLUDE,EXCLUDE
30cef24d-69f6-4256-a539-9a49227b2780,EXCLUDE,EXCLUDE
30d21683-b34d-4774-8e99-a1790c88fd63,INCLUDE,INCLUDE
30d28daa-8141-480e-8d35-967f8542c158,EXCLUDE,EXCLUDE
30d624ee-9292-4278-a1ef-5aef3854c1ba,EXCLUDE,EXCLUDE
30e543da-adff-4f56-a4db-02d4f7209a15,EXCLUDE,EXCLUDE
30e68e1a-3f06-42d4-bb39-a821bb695022,EXCLUDE,EXCLUDE
30ee7a21-9427-43c5-ab14-89ae19655144,EXCLUDE,EXCLUDE
30f5070f-5a40-4be0-a9cf-c25c7ada98b4,INCLUDE,INCLUDE
30f82bdc-9461-433e-b0bb-54809f48af3f,EXCLUDE,EXCLUDE
30f9d093-a7f9-433e-bebc-a8a6f29b8946,EXCLUDE,EXCLUDE
31056ec9-8d63-4880-b595-765caa80d821,EXCLUDE,EXCLUDE
311f1c54-ab07-4631-8cfb-36557d3868d0,EXCLUDE,EXCLUDE
3123d6e7-22d0-4c83-86ab-56804ff799b2,INCLUDE,INCLUDE
3135f474-15e6-4dd0-9979-72a1ac4864e7,INCLUDE,INCLUDE
313ac163-cc4f-4f29-ba96-b2886e4212ff,INCLUDE,EXCLUDE
313de7a8-a8cb-4bd8-9b7b-7b193e22cef1,INCLUDE,INCLUDE
